,citystate,pop,lat,lng
1,23114 VA,17449,37.411851,-76.367526
2,95467 CA,5498,39.962583,-123.814656
3,Aaronsburg PA,1217,40.876944,-77.387977
4,Abac GA,27153,31.451722,-83.498867
5,Abbeville AL,6783,31.575479,-85.279044
6,Abbeville GA,4816,31.96484,-83.306845
7,Abbeville MS,2371,34.455553,-89.568835
8,Abbeville SC,12934,34.18186,-82.378452
9,Abbot Village ME,819,45.279838,-69.52514
10,Abbotsford WI,3032,44.964057,-90.299438
11,Abbott Park IL,15407,42.318901,-87.847819
12,Abbott TX,1037,31.891642,-97.067146
13,Abbottstown PA,4053,39.888099,-76.993077
14,Abbyville KS,281,37.962597,-98.207103
15,Abell MD,431,38.249554,-76.744104
16,Aberdeen MD,21487,39.510886,-76.18054
17,Aberdeen MS,11805,33.828439,-88.538033
18,Aberdeen NC,11681,35.121641,-79.445039
19,Aberdeen OH,2385,38.670864,-83.763723
20,Aberdeen Proving MD,2112,39.472434,-76.130295
21,Aberdeen SD,30061,45.466109,-98.485642
22,Aberdeen WA,23814,46.984293,-123.79629
23,Abernathy TX,3445,33.849961,-101.861111
24,Abie NE,77,41.347901,-96.956282
25,Abilene KS,10141,38.937144,-97.20632
26,Abilene TX,123875,32.468155,-99.718208
27,Abingdon IL,3912,40.802312,-90.400898
28,Abingdon MD,29766,39.47444,-76.299726
29,Abingdon VA,16840,36.691644,-82.019989
30,Abington MA,16029,42.116715,-70.954293
31,Abiquiu NM,1096,36.176923,-106.244859
32,Abita Springs LA,7345,30.483696,-90.004072
33,Abraham WV,4430,37.697802,-81.1023
34,Abrams WI,2751,44.78693,-88.057101
35,Absaraka ND,23,47.014359,-97.388769
36,Absarokee MT,1643,45.515356,-109.469171
37,Academy SD,2495,43.40242,-98.889656
38,Acampo CA,7273,38.200413,-121.218576
39,Accident MD,2074,39.635504,-79.308467
40,Accokeek MD,9802,38.671992,-77.016217
41,Accomac VA,1831,37.71588,-75.680272
42,Accord NY,3385,41.808308,-74.235336
43,Acequia ID,12268,42.621467,-113.66699
44,Ackerly TX,592,32.609085,-101.795132
45,Ackerman MS,3916,33.351684,-89.20139
46,Ackley IA,2464,42.552722,-93.060835
47,Ackworth IA,680,41.37372,-93.376719
48,Acmar AL,10427,33.584132,-86.51557
49,Acme LA,37,31.301618,-91.821563
50,Acme PA,3738,40.104891,-79.482747
51,Acme WA,634,48.675248,-122.191391
52,Acme WY,1153,44.904789,-107.159833
53,Acra NY,780,42.330367,-74.085723
54,Acton CA,7993,34.483541,-118.195929
55,Acton IN,11617,39.660901,-85.992603
56,Acton MA,21361,42.475076,-71.448255
57,Acton ME,2429,43.549405,-70.930687
58,Acton MT,165,45.936997,-108.680975
59,Acushnet MA,10307,41.6997,-70.908652
60,Acworth GA,54373,34.075627,-84.647741
61,Ada MI,18701,42.95661,-85.480959
62,Ada OH,8460,40.770931,-83.815402
63,Ada OK,30802,34.780044,-96.69236
64,Adah PA,905,39.883101,-79.890827
65,Adair IA,1297,41.513687,-94.644363
66,Adair IL,378,40.385197,-90.503742
67,Adair OK,2884,36.411453,-95.273199
68,Adairsville GA,14781,34.359527,-84.917634
69,Adairville KY,2389,36.691385,-86.858523
70,Adamant VT,161,44.35747,-72.504649
71,Adams Center NY,2716,43.863106,-76.00415
72,Adams IN,20832,39.331223,-85.473532
73,Adams KY,238,37.991375,-82.702437
74,Adams MA,8603,42.622319,-73.117225
75,Adams Mills OH,4327,40.112941,-82.018807
76,Adams MN,1428,43.559119,-92.730494
77,Adams ND,322,48.422299,-98.086741
78,Adams NE,1466,40.457571,-96.53956
79,Adams OR,815,45.749678,-118.617582
80,Adams TN,4679,36.558174,-87.122626
81,Adams WI,3508,43.896688,-89.821869
82,Adamsburg PA,543,40.312577,-79.656469
83,Adamstown PA,1047,40.242992,-76.056542
84,Adamsville AL,7942,33.588437,-86.959727
85,Adamsville OH,1075,40.07929,-81.871847
86,Adamsville PA,314,41.506677,-80.376544
87,Adamsville TN,6145,35.25561,-88.413367
88,Addis LA,3593,30.355699,-91.261348
89,Addison AL,2415,34.205571,-87.194766
90,Addison IL,39119,41.933509,-88.0054
91,Addison ME,1272,44.583038,-67.714573
92,Addison MI,2290,42.003604,-84.312229
93,Addison NY,5475,42.09825,-77.266027
94,Addison PA,661,39.761195,-79.319334
95,Addison Township MI,4727,42.836423,-83.138089
96,Addy WA,1453,48.44769,-117.892383
97,Addyston OH,606,39.137364,-84.709602
98,Adel GA,10690,31.125143,-83.421346
99,Adel IA,6594,41.62214,-94.037965
100,Adel OR,111,42.148697,-119.883291
101,Adelaide CA,43714,35.635248,-120.670676
102,Adelanto CA,32725,34.584128,-117.424189
103,Adell WI,1901,43.615071,-88.025394
104,Adelphi MD,44487,38.993751,-76.97472
105,Adena OH,2219,40.212581,-80.881538
106,Adger AL,3121,33.434277,-87.167455
107,Adin CA,557,41.21751,-120.943193
108,Adirondack NY,306,43.716479,-73.782486
109,Adkins TX,7898,29.380542,-98.26504
110,Admire KS,262,38.639297,-96.101657
111,Adolphus KY,2588,36.677486,-86.263596
112,Adona AR,566,35.046956,-92.903325
113,Adrian GA,2910,32.563505,-82.569508
114,Adrian MI,41310,41.900516,-84.044556
115,Adrian MN,1843,43.619683,-95.927261
116,Adrian MO,3843,38.412473,-94.368336
117,Adrian ND,419,46.654218,-98.597647
118,Adrian OR,692,43.653712,-117.060193
119,Adrian PA,1014,40.904902,-79.507444
120,Adrian TX,249,35.275807,-102.69699
121,Advance Mills VA,9815,38.233871,-78.391033
122,Advance MO,3430,37.092219,-89.910614
123,Advance NC,14150,36.006496,-80.446301
124,Affton MO,49308,38.550594,-90.325304
125,Afton IA,1743,41.040146,-94.194044
126,Afton MI,937,45.363684,-84.469453
127,Afton MN,2916,44.86965,-92.823358
128,Afton NY,2805,42.241737,-75.536604
129,Afton TN,4874,36.204166,-82.746667
130,Afton TX,197,33.771837,-100.802131
131,Afton VA,4186,37.962624,-78.841046
132,Afton WY,4307,42.712829,-110.941976
133,Agar SD,153,44.839345,-100.071238
134,Agate CO,392,39.420256,-103.984575
135,Agawam MA,16769,42.070206,-72.622739
136,Agency IA,1005,40.995693,-92.316231
137,Agency MO,1417,39.666229,-94.717017
138,Agency Village SD,4963,45.664413,-97.02322
139,Agenda KS,186,39.702868,-97.426983
140,Ages Brookside KY,531,36.840734,-83.235294
141,Agness OR,105,42.574788,-124.064769
142,Agnew NE,1375,40.985331,-96.782942
143,Agnos AR,2856,36.219732,-91.610746
144,Agra KS,393,39.803701,-99.125543
145,Agra OK,1253,35.882548,-96.87794
146,Agricola MS,26964,30.866722,-88.593391
147,Agua Dulce CA,33348,34.459742,-118.488955
148,Aguanga CA,3810,33.447306,-116.799693
149,Aguilar CO,954,37.393304,-104.676926
150,Ahoskie NC,12007,36.295737,-76.996632
151,Ahsahka ID,194,46.510318,-116.371537
152,Ahwahnee CA,1909,37.407631,-119.723251
153,Aiea HI,40281,21.390795,-157.933237
154,Aiken SC,63621,33.553024,-81.719429
155,Ailey GA,2168,32.214262,-82.47619
156,Aimwell LA,117,31.761898,-91.992491
157,Ainsworth IA,1267,41.320226,-91.547173
158,Ainsworth NE,2484,42.54027,-99.861491
159,Airville PA,3083,39.821012,-76.401179
160,Aitkin MN,8931,46.479929,-93.645413
161,Akaska SD,75,45.332447,-100.118614
162,Akeley MN,1840,47.000987,-94.72343
163,Akhiok AK,12899,57.781967,-152.500169
164,Akiachak AK,627,60.891854,-161.39233
165,Akiak AK,346,60.890632,-161.199325
166,Akron CO,2558,40.180315,-103.225885
167,Akron IA,2432,42.835392,-96.52245
168,Akron IN,3360,41.038921,-86.039471
169,Akron MI,1368,43.584373,-83.539262
170,Akron NY,9464,43.024944,-78.508365
171,Akron OH,238171,41.044852,-81.520048
172,Akron PA,4307,40.157086,-76.205295
173,Akutan AK,1027,54.143012,-165.785368
174,Aladdin WY,243,44.747331,-104.19314
175,Alakanuk AK,677,62.746967,-164.60228
176,Alameda NM,61623,35.195612,-106.659138
177,Alamo CA,14889,37.853695,-122.022868
178,Alamo GA,4371,32.13298,-82.794445
179,Alamo Heights TX,39197,29.488623,-98.455774
180,Alamo NM,2999,34.241178,-107.340647
181,Alamo NV,1224,37.325866,-115.308032
182,Alamo TN,4719,35.801697,-89.176465
183,Alamo TX,33722,26.190578,-98.116445
184,Alamogordo NM,35776,32.893186,-105.948544
185,Alamosa CO,14675,37.470274,-105.878602
186,Alamota KS,1416,38.474588,-100.458023
187,Alanson MI,4585,45.440545,-84.792421
188,Alapaha GA,2178,31.394027,-83.21321
189,Alba TX,4334,32.765235,-95.597102
190,Albany CA,19615,37.890045,-122.295394
191,Albany GA,45851,31.567783,-84.161923
192,Albany IL,1232,41.765874,-90.208051
193,Albany IN,4134,40.292049,-85.257987
194,Albany KY,10216,36.68569,-85.140677
195,Albany LA,5266,30.514872,-90.596415
196,Albany MN,5157,45.615114,-94.574022
197,Albany MO,2388,40.251282,-94.326977
198,Albany NY,76301,42.641314,-73.764071
199,Albany OH,5541,39.209664,-82.217727
200,Albany OR,24928,44.627722,-123.094409
201,Albany TX,2532,32.719005,-99.319581
202,Albany VT,662,44.734427,-72.34181
203,Albany WI,2421,42.715535,-89.435695
204,Albee SD,505,45.022142,-96.562366
205,Albemarle NC,26760,35.357276,-80.204363
206,Alberene VA,1578,37.961992,-78.695414
207,Albers IL,1872,38.531955,-89.620151
208,Albert City IA,1116,42.778403,-94.98238
209,Albert KS,318,38.475758,-98.980714
210,Albert Lea MN,21228,43.653678,-93.370672
211,Albert NM,158,35.715938,-103.746132
212,Albert TX,654,30.224921,-98.655468
213,Alberta AL,784,32.144889,-87.342503
214,Alberta MN,251,45.557086,-96.049772
215,Alberta VA,1597,36.880609,-77.905518
216,Alberton MT,1361,46.98061,-114.492139
217,Albertson NC,2737,35.117647,-77.851517
218,Albertson NY,7406,40.77032,-73.651419
219,Albertville AL,20826,34.273859,-86.206447
220,Albertville MN,10535,45.253425,-93.646899
221,Albia IA,5976,41.028718,-92.794619
222,Albin WY,401,41.434237,-104.150542
223,Albion CA,950,39.215934,-123.721366
224,Albion IA,730,42.11427,-92.98821
225,Albion IL,3412,38.374003,-88.063557
226,Albion IN,7979,41.348217,-85.414183
227,Albion ME,2041,44.535527,-69.468286
228,Albion MI,14224,42.258073,-84.756052
229,Albion NE,2967,41.704947,-97.999116
230,Albion NY,14491,43.239827,-78.206846
231,Alborn MN,500,46.978229,-92.557937
232,Albright WV,1836,39.570116,-79.635811
233,Albrightsville PA,8258,40.974786,-75.584206
234,Albuquerque NM,579726,35.081831,-106.648171
235,Alburg VT,1998,44.968454,-73.280963
236,Alburnett IA,1152,42.158322,-91.639245
237,Alburtis PA,5450,40.486201,-75.62113
238,Alcalde KY,17592,37.073853,-84.604362
239,Alcester SD,1672,43.004726,-96.633243
240,Alcoa TN,6817,35.78522,-83.980895
241,Alcolu SC,2148,33.768402,-80.178782
242,Alcova WY,210,42.568383,-106.610199
243,Alcove NY,60,42.453818,-74.034721
244,Alda NE,1109,40.856923,-98.455135
245,Alden AL,2382,33.63356,-86.948221
246,Alden IA,1676,42.51789,-93.384123
247,Alden KS,234,38.234303,-98.311202
248,Alden Manor NY,41356,40.699615,-73.705751
249,Alden MI,1121,44.877887,-85.2241
250,Alden MN,1613,43.646586,-93.582307
251,Alden NY,12704,42.89839,-78.525707
252,Alder Creek NY,98,43.415659,-75.213748
253,Aldrich MN,235,46.402538,-94.992017
254,Aldrich MO,812,37.505667,-93.557642
255,Aledo IL,5627,41.20078,-90.741629
256,Aledo TX,13602,32.700351,-97.603885
257,Aleknagik AK,221,59.269688,-158.619882
258,Aleppo PA,290,39.824647,-80.457918
259,Alex OK,1062,34.961202,-97.75709
260,Alexander AR,14134,34.631266,-92.472673
261,Alexander IA,377,42.811395,-93.445
262,Alexander KS,93,38.456996,-99.537828
263,Alexander Mills NC,21055,35.301753,-81.864247
264,Alexander NC,3635,35.706394,-82.631134
265,Alexander NY,1986,42.915851,-78.25889
266,Alexander WV,2583,38.851145,-80.274339
267,Alexandria AL,4603,33.780785,-85.892447
268,Alexandria IN,10459,40.256081,-85.668148
269,Alexandria KY,16412,38.940605,-84.394329
270,Alexandria LA,58923,31.288519,-92.463349
271,Alexandria MN,23961,45.881747,-95.381994
272,Alexandria MO,639,40.344514,-91.515437
273,Alexandria NE,289,40.261446,-97.403855
274,Alexandria OH,2400,40.105965,-82.607683
275,Alexandria TN,2292,36.071147,-86.037171
276,Alexandria VA,165214,38.820042,-77.058901
277,Alexis IL,1321,41.052146,-90.543576
278,Alexis NC,1130,35.383613,-81.102204
279,Alford FL,2144,30.714106,-85.34838
280,Alfred ME,7351,43.487503,-70.696087
281,Alfred NY,4135,42.255165,-77.79295
282,Alfred Station NY,1174,42.255799,-77.778084
283,Alger MI,3083,44.139488,-84.18719
284,Alger OH,1943,40.705967,-83.825011
285,Algodones NM,3684,35.428527,-106.616589
286,Algoma WI,5345,44.610051,-87.457792
287,Algoma WV,1686,37.395262,-81.415839
288,Algona IA,7137,43.065976,-94.230638
289,Algona WA,31911,47.316339,-122.270057
290,Algood TN,36687,36.174261,-85.49531
291,Alhambra CA,83057,34.091436,-118.129288
292,Alhambra IL,1752,38.882211,-89.744123
293,Alice TX,28710,27.743171,-98.083622
294,Aliceville AL,4972,33.122813,-88.166689
295,Alicia AR,498,35.942327,-91.081003
296,Aline OK,510,36.505621,-98.457387
297,Aliso Viejo CA,49046,33.572367,-117.708906
298,Alkabo ND,371,48.613946,-103.929128
299,Alkol WV,1130,38.160884,-81.983972
300,Allakaket AK,208,66.543197,-152.712155
301,Allardt TN,901,36.374889,-84.850784
302,Alledonia OH,202,39.905271,-80.957753
303,Allegan MI,17374,42.525609,-85.86608
304,Allegany NY,6356,42.091827,-78.499883
305,Alleghany CA,86,39.512698,-120.727176
306,Alleghany VA,14329,37.784203,-80.003176
307,Allegheny PA,27895,40.468873,-80.013128
308,Alleman IA,474,41.815886,-93.606305
309,Allen IL,907,40.294466,-89.625029
310,Allen KY,755,37.566182,-82.636272
311,Allen MI,1284,41.926419,-84.760782
312,Allen NE,830,42.443667,-96.8574
313,Allen OK,2170,34.850176,-96.558462
314,Allen Park MI,28200,42.25223,-83.212001
315,Allen SD,872,43.290818,-101.932858
316,Allen TX,63140,33.093383,-96.645433
317,Allendale IL,985,38.523236,-87.721901
318,Allendale MI,20735,42.971066,-85.924913
319,Allendale NJ,6494,41.032654,-74.134185
320,Allendale SC,4990,33.007676,-81.320254
321,Allenhurst GA,4591,31.774059,-81.618577
322,Allenhurst NJ,1533,40.236675,-74.006706
323,Allenport PA,470,40.089845,-79.854194
324,Allenspark CO,420,40.226775,-105.520064
325,Allenstown NH,11437,43.147554,-71.439663
326,Allensville KY,657,36.694744,-87.024442
327,Allensville OH,6047,39.255326,-82.490699
328,Allensville PA,784,40.524921,-77.829396
329,Allenton WI,2299,43.468065,-88.353901
330,Allentown GA,112,32.653829,-83.189796
331,Allentown NJ,6582,40.158922,-74.59093
332,Allentown PA,142248,40.602729,-75.470955
333,Allenwood PA,4683,41.126424,-76.972362
334,Allerton IA,878,40.702301,-93.37239
335,Allerton IL,361,39.918818,-87.931235
336,Alleyton TX,978,29.745286,-96.46312
337,Alliance NE,10125,42.114943,-102.888045
338,Alliance OH,35294,40.915842,-81.118193
339,Alligator MS,597,34.129425,-90.738214
340,Allison IA,1603,42.761465,-92.782952
341,Allison PA,551,39.982566,-79.875675
342,Allison Park PA,24292,40.569975,-79.966512
343,Allisonia VA,1931,36.997815,-80.638173
344,Allons TN,1613,36.497002,-85.319744
345,Allouez WI,22742,44.485313,-88.016868
346,Allport PA,318,40.975039,-78.21038
347,Allred TN,22,36.366838,-85.176084
348,Allston MA,21503,42.353519,-71.132866
349,Allyn WA,3232,47.385004,-122.853571
350,Alma AR,13787,35.500043,-94.207337
351,Alma Center WI,1307,44.445218,-90.935602
352,Alma GA,9848,31.546525,-82.4633
353,Alma IL,961,38.723089,-88.915695
354,Alma KS,1721,39.009206,-96.292323
355,Alma MI,12923,43.380877,-84.663484
356,Alma MO,656,39.10484,-93.542853
357,Alma NE,1446,40.118853,-99.360073
358,Alma NY,183,42.016859,-78.040012
359,Alma WI,1624,44.429437,-91.807931
360,Almena KS,599,39.889071,-99.704177
361,Almena WI,1471,45.419507,-92.002691
